交通指数,拥堵级别,统计时间
5.25,轻度,2024年6月
5.24,轻度,2024年5月
5.67,轻度,2024年4月
5.34,轻度,2024年3月
3.02,基本,2024年2月
5.11,轻度,2024年1月
5.75,轻度,2023年12月
5.84,轻度 ,2023年11月
5.99,轻度,2023年10月
6.3,中度,2023年9月
4.96,轻度,2023年8月
5.08,轻度,2023年7月
5.62,轻度,2023年6月
5.6,轻度,2023年5月
5.46,轻度,2023年4月
6,中度,2023年3月
5.7,轻度,2023年2月
3.47,基本,2023年1月
4.53,轻度,2022年10月
5.93,轻度,2022年9月
4.86,轻度,2022年8月
4.48,轻度,2022年7月
5.4,轻度,2022年6月
5.4,轻度,2022年5月
3.81,基本,2022年4月
5.59,轻度,2022年3月
4.5,轻度,2022年2月
4.28,轻度,2022年1月
6.03,中度,2021年12月
6.2,中度,2021年11月
6.4,中度,2021年10月
6.62,中度,2021年9月
5.65,轻度,2021年8月
5.41,轻度,2021年7月
4.99,轻度,2021年6月
6.16,中度,2021年5月
6.12,中度,2021年4月
5.67,轻度,2021年3月
3.03,基本,2021年2月
5.33,轻度,2021年1月
6.18,中度,2020年12月
6.39,中度,2020年11月
6.56,中度,2020年10月
7.1,中度,2020年9月
5.76,轻度,2020年8月
6.13,中度,2020年7月
7.06,中度,2020年6月
6.55,中度,2020年5月
5.23,轻度,2020年4月
4.89,轻度,2020年3月
4.54,轻度,2020年1月
6.04,中度,2019年12月
6.07,中度,2019年11月
5.94,轻度,2019年10月
6.32,中度,2019年9月
5.06,轻度,2019年8月
5.62,中度,2019年7月
6.27,中度,2019年6月
5.89,轻度,2019年5月
6.3,中度,2019年4月
5.76,轻度,2019年3月
3.46,基本,2019年2月
4.84,轻度,2019年1月
5.98,轻度,2018年12月
5.74,轻度,2018年11月
5.7,轻度,2018年10月
5.63,轻度,2018年9月
4.67,轻度,2018年8月
5.3,轻度,2018年7月
6.75,中度,2018年6月
6.89,中度,2018年5月
6.58,中度,2018年4月
6.32,中度,2018年3月
3.38,基本,2018年2月
4.99,轻度,2018年1月
4.98,轻度,2017年12月
5.69,轻度,2017年11月
5.64,轻度,2017年10月
6.39,中度,2017年9月
4.77,轻度,2017年8月
4.71,轻度,2017年7月
5.07,轻度,2017年6月
4.98,轻度,2017年5月
5.14,轻度,2017年4月
5.01,轻度,2017年3月
3.54,基本,2017年2月
4.09,轻度,2017年1月
5.64,轻度,2016年12月
5.99,轻度,2016年11月
6.07,中度,2016年10月
6.59,中度,2016年9月
5.52,轻度,2016年8月
5.64,轻度,2016年7月
6.49,中度,2016年6月
6.29,中度,2016年5月
6.28,中度,2016年4月
6.19,中度,2016年3月
3.2,基本,2016年2月
5.64,轻度,2016年1月
