name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,,,,,,113.3617695,23.0761,,,boundary node created by osm2gmns
,1,2209903046,,,,,,,113.3616372,23.0759175,,,
,2,8625656116,,,,,,,113.3610438,23.0750998,,,
,3,8625656113,,,,,,,113.3616615,23.0748622,,,
,4,623887579,,,,,,,113.3626934,23.075,,,
,5,623883177,,,,,,,113.3606037,23.0744367,,,
,6,,,,,,,,113.3563,23.0670486,,,boundary node created by osm2gmns
,7,,,,,,,,113.3563,23.0564185,,,boundary node created by osm2gmns
,8,2649687830,,,,,,,113.3663321,23.0496419,,,
,9,3976437413,,,,,,,113.3743017,23.0416907,,,
,10,,,,,,,,113.3738205,23.0338,,,boundary node created by osm2gmns
,11,627275667,,,,,,,113.4097141,23.0354824,,,
,12,627275671,,,,,,,113.4090811,23.0386024,,,
,13,627275680,,,,,,,113.4109586,23.0384839,,,
,14,9829890548,,,,,,,113.4088151,23.0398705,,,
,15,4588762973,,,,,,,113.4091312,23.0402737,,,
,16,627276103,,,,,,,113.4116546,23.0399766,,,
,17,4588762917,,,,,,,113.4113911,23.0395032,,,
,18,4592847159,,,,,,,113.385174,23.059589,,,
,19,2538632495,,,,,,,113.3851743,23.0596728,,,
,20,8595806183,,,,,,,113.3832441,23.0615364,,,
,21,4577443898,,,,,,,113.3831859,23.0615913,,,
,22,728704263,,,,,,,113.381536,23.0632726,,,
,23,2538718055,,,,,,,113.3890556,23.0433507,,,
,24,4553958489,,,,,,,113.392632,23.0442425,,,
,25,4412979671,,,,,,,113.3716344,23.0490813,,,
,26,4582748636,,,,,,,113.3715593,23.0492588,,,
,27,4450509814,,,,,,,113.3776533,23.0442712,,,
,28,4934264947,,,,,,,113.3791219,23.0420834,,,
,29,4411762396,,,,,,,113.3670738,23.0568456,,,
,30,2540492809,,,,,,,113.3671103,23.0569064,,,
,31,4649185118,,,,,,,113.3673749,23.0572396,,,
,32,728704037,,,,,,,113.36519,23.0563173,,,
,33,728704079,,,,,,,113.362022,23.0565525,,,
,34,1199440677,,,,,,,113.3743519,23.044368,,,
,35,1199440692,,,,,,,113.37462,23.0422851,,,
,36,2538718082,,,,,,,113.3740287,23.0498766,,,
,37,2538632478,,,,,,,113.373916,23.0500223,,,
,38,1199440711,,,,,,,113.3737854,23.0505245,,,
,39,1199440597,,,,,,,113.3737831,23.0508401,,,
,40,1199440374,,,,,,,113.3756796,23.0451976,,,
,41,1199440475,,,,,,,113.374006,23.0441528,,,
,42,2538717947,,,,,,,113.3759222,23.0518143,,,
,43,4581515429,,,,,,,113.3824063,23.0527792,,,
,44,4628708867,,,,,,,113.3838881,23.046917,,,
,45,4637571471,,,,,,,113.3838417,23.0469708,,,
,46,1199440454,,,,,,,113.3714725,23.0560081,,,
,47,1199440594,,,,,,,113.3706759,23.0554756,,,
,48,4450420761,,,,,,,113.3777175,23.0443074,,,
,49,4450420830,,,,,,,113.3776418,23.0443277,,,
,50,7962582652,,,,,,,113.3773557,23.044366,,,
,51,4412979667,,,,,,,113.3605587,23.0390253,,,
,52,4412979668,,,,,,,113.3742953,23.0388151,,,
,53,1199443051,,,,,,,113.3763712,23.0551523,,,
,54,1199442995,,,,,,,113.3811868,23.0548752,,,
,55,4592745054,,,,,,,113.3812534,23.0548798,,,
,56,1199442986,,,,,,,113.3822856,23.0548327,,,
,57,4581515431,,,,,,,113.3893856,23.0475021,,,
,58,11690152164,,,,,,,113.3894435,23.0475071,,,
,59,4581515402,,,,,,,113.3897871,23.0475692,,,
,60,2540493213,,,,,,,113.3908235,23.0479843,,,
,61,4668248545,,,,,,,113.3917935,23.0487935,,,
,62,4518667378,,,,,,,113.3687793,23.0562494,,,
,63,4518407332,,,,,,,113.3687494,23.0561848,,,
,64,2538631779,,,,,,,113.3900005,23.0623506,,,
,65,4628739267,,,,,,,113.3895267,23.0659758,,,
,66,4637524868,,,,,,,113.389394,23.0664731,,,
,67,1199443027,,,,,,,113.3655296,23.0532209,,,
,68,4582758494,,,,,,,113.3659969,23.0534474,,,
,69,9307639351,,,,,,,113.3651307,23.0515112,,,
,70,4582758495,,,,,,,113.3656555,23.0537904,,,
,71,4411762395,,,,,,,113.3669708,23.0566855,,,
,72,623887590,,,,,,,113.3630899,23.0758559,,,
,73,,,,,,,,113.3630476,23.0761,,,boundary node created by osm2gmns
,74,,,,,,,,113.3630102,23.0761,,,boundary node created by osm2gmns
,75,4632248920,,,,,,,113.3676202,23.0620941,,,
,76,4623733977,,,,,,,113.3676235,23.0621936,,,
,77,1330950446,,,,,,,113.3676385,23.0627197,,,
,78,9037429413,,,,,,,113.3676398,23.0629439,,,
,79,9037429284,,,,,,,113.3676444,23.0637414,,,
,80,9168664574,,,,,,,113.3676469,23.064711,,,
,81,4623733981,,,,,,,113.3676479,23.0655585,,,
,82,3072721254,,,,,,,113.3676472,23.0673472,,,
,83,4632248921,,,,,,,113.3679923,23.0691049,,,
